label,PNS,FAN,ETH,accuracy,latency
PNS=20_FAN=15_ETH=0.3,20,15,0.3,0.8756319514661274,0.5934917473576067
PNS=20_FAN=15_ETH=0.5,20,15,0.5,0.8574317492416582,0.5939947698186213
PNS=20_FAN=15_ETH=0.7,20,15,0.7,0.8038422649140546,0.5894771003144575
PNS=20_FAN=30_ETH=0.3,20,30,0.3,0.9140546006066734,0.6038075409475544
PNS=20_FAN=30_ETH=0.5,20,30,0.5,0.8877654196157735,0.6083140640818072
PNS=20_FAN=30_ETH=0.7,20,30,0.7,0.8473205257836198,0.5956499774246293
PNS=20_FAN=50_ETH=0.3,20,50,0.3,0.9403437815975733,0.6371475010959636
PNS=20_FAN=50_ETH=0.5,20,50,0.5,0.9019211324570273,0.6235056911850362
PNS=20_FAN=50_ETH=0.7,20,50,0.7,0.8806875631951466,0.6184054886728254
PNS=30_FAN=15_ETH=0.3,30,15,0.3,0.7532861476238625,0.6188551533451215
PNS=30_FAN=15_ETH=0.5,30,15,0.5,0.7098078867542973,0.6327914292457975
PNS=30_FAN=15_ETH=0.7,30,15,0.7,0.6764408493427705,0.6417744543000348
PNS=30_FAN=30_ETH=0.3,30,30,0.3,0.80788675429727,0.6472520881282547
PNS=30_FAN=30_ETH=0.5,30,30,0.5,0.7957532861476239,0.5890469384747882
PNS=30_FAN=30_ETH=0.7,30,30,0.7,0.7674418604651163,0.5852952128835588
PNS=30_FAN=50_ETH=0.3,30,50,0.3,0.8786653185035389,0.5936470024506171
PNS=30_FAN=50_ETH=0.5,30,50,0.5,0.839231547017189,0.5819813563922539
PNS=30_FAN=50_ETH=0.7,30,50,0.7,0.839231547017189,0.5812752637390661
PNS=40_FAN=15_ETH=0.3,40,15,0.3,0.5601617795753286,0.5703909982926202
PNS=40_FAN=15_ETH=0.5,40,15,0.5,0.564206268958544,0.5686399196590042
PNS=40_FAN=15_ETH=0.7,40,15,0.7,0.5217391304347826,0.5668930771136308
PNS=40_FAN=30_ETH=0.3,40,30,0.3,0.7360970677451971,0.5696704905966054
PNS=40_FAN=30_ETH=0.5,40,30,0.5,0.7118301314459049,0.5749280582906262
PNS=40_FAN=30_ETH=0.7,40,30,0.7,0.6693629929221436,0.569678893344829
PNS=40_FAN=50_ETH=0.3,40,50,0.3,0.8169868554095046,0.5725859084192012
PNS=40_FAN=50_ETH=0.5,40,50,0.5,0.7927199191102123,0.5730161379996397
PNS=40_FAN=50_ETH=0.7,40,50,0.7,0.7724974721941354,0.5727081691772801
